userId,movieId,rating,timestamp,user,movie
67037,432,77866,4.5,1335139641,431,4730
42175,288,474,3.0,978465565,287,474
93850,599,4351,3.0,1498524542,598,2631
6187,42,2987,4.0,996262677,41,194
12229,75,1610,4.0,1158989841,74,727
7433,51,177,4.0,1230930634,50,535
53802,354,51662,3.5,1200869930,353,899
65098,416,750,4.5,1187495659,415,722
68041,438,6503,0.5,1105654319,437,1882
11854,73,8641,3.5,1464197978,72,1226
87810,567,1203,4.5,1525283592,566,351
60512,391,1179,4.0,1031030437,390,347
57994,380,111362,5.0,1493474096,379,1356
46319,305,55276,5.0,1460136738,304,1272
61839,409,3868,4.0,968985606,408,1871
47446,307,6957,3.5,1186085807,306,2244
40203,274,26736,4.5,1239123373,273,6254
19310,125,6952,3.0,1474415234,124,3616
86670,561,1278,3.5,1491094620,560,87
11134,68,6953,2.5,1158533556,67,2243
82955,525,50872,3.5,1476478189,524,1052
63526,414,3847,2.0,966612823,413,7459
804,6,587,5.0,845553381,5,670
95917,601,48394,4.0,1521467754,600,1132
50205,325,32,4.0,1039396494,324,292
12883,82,5065,3.0,1084465558,81,3644
1572,16,204,2.0,1377476617,15,546
84473,542,4816,1.5,1163388683,541,1194
4939,32,39,3.0,856737205,31,462
21325,140,2682,4.0,977403325,139,4905
26922,182,5643,3.0,1054781376,181,5143
13741,89,42761,4.5,1520409141,88,3786
54558,359,541,1.5,1198112228,358,1094
27093,183,1408,4.0,992331493,182,94
17775,111,119155,3.5,1516152412,110,2006
12557,80,2513,4.0,1377307812,79,1624
70296,448,117590,2.0,1446908340,447,2002
81141,514,1258,4.0,1535943481,513,83
10538,68,1101,3.5,1158533140,67,724
50207,325,80,4.0,1039397611,324,6915
80432,509,1588,3.5,1436000408,508,1495
19850,131,31,3.0,1349838570,130,259
6695,45,2355,5.0,950728148,44,1600
22992,156,3167,3.0,946800232,155,5074
68249,440,1199,4.5,1237569063,439,350
48213,312,5065,3.0,1043176981,311,3644
8341,57,2102,4.0,965796031,56,3024
96575,603,2020,4.0,953927590,602,3059
51957,337,778,4.0,860255929,336,1159
18271,116,356,4.0,1337199672,115,20
19031,122,63113,4.5,1461561761,121,911
29279,201,185,3.0,941211804,200,539
24066,167,318,5.0,1154722100,166,232
21030,139,60072,1.5,1453925062,138,3080
10484,68,628,3.5,1158534567,67,674
1574,16,293,4.0,1377477870,15,588
70108,448,99992,3.0,1374953846,447,7876
70568,450,1073,4.0,974706008,449,60
25819,178,380,4.0,1164355018,177,472
94665,599,59369,2.5,1498518401,598,1911
89763,581,4226,4.5,1447007261,580,444
30658,215,1347,0.5,1260905513,214,1029
99811,610,4228,3.0,1493847574,609,4493
12714,81,288,3.0,845299800,80,584
63024,414,2120,2.0,961518176,413,6377
52386,340,185,3.0,848666415,339,539
50168,323,111443,2.5,1422640855,322,6910
33925,232,586,3.0,1218167353,231,827
27489,186,3740,3.0,1031073228,185,226
4293,28,1245,3.5,1234338202,27,1164
28256,195,4067,4.0,1002764403,194,2617
64826,414,86190,4.0,1511537178,413,1323
92128,596,141131,2.5,1535712067,595,8973
86688,561,1394,4.0,1491092758,560,1474
96061,602,448,3.0,840876417,601,1024
29693,202,2983,4.0,974924755,201,5604
28112,195,553,4.0,974706168,194,31
29222,200,44761,5.0,1229878699,199,2308
59918,387,5296,1.5,1117414752,386,3647
81425,514,104841,3.0,1533872356,513,1072
80899,510,2710,1.0,1141158757,509,1642
43376,290,2385,3.0,974942658,289,3290
32277,221,446,4.5,1111178224,220,2437
92609,598,7361,5.0,1430616909,597,1129
91891,596,4014,3.5,1535833814,595,433
64945,414,157699,4.0,1519593368,413,4605
5270,34,31685,2.0,1166464153,33,892
8832,62,2115,4.5,1521822456,61,134
70172,448,105211,3.5,1412437686,447,957
20788,137,1242,4.0,1204859745,136,2396
67785,438,2642,3.0,1105664766,437,1635
98415,606,47538,2.5,1244573590,605,9540
53356,352,51662,4.0,1493674121,351,899
88669,572,3093,5.0,945890357,571,4912
19761,129,4878,2.5,1167376533,128,1124
41238,279,164179,4.0,1506395001,278,1390
66631,428,6365,3.0,1111489458,427,768
22373,152,858,5.0,1450572429,151,1027
50725,328,1198,5.0,1494210760,327,70
66284,427,435,3.0,1053068798,426,634
55345,367,3751,5.0,997811942,366,1186
94895,599,97306,3.0,1498528332,598,4733
83052,525,98243,3.0,1476478213,524,5012
17654,111,78174,1.5,1516153265,110,4539
6166,42,2735,4.0,996260113,41,2488
97800,606,2677,4.0,1171234566,605,8081
86331,560,6863,3.0,1469648866,559,771
2357,19,422,3.0,965711481,18,1414
7646,51,3363,4.5,1230929491,50,2402
73199,474,381,2.5,1087832502,473,623
10706,68,2096,3.0,1261623516,67,131
27850,189,7153,4.0,1439465091,188,774
94861,599,93723,1.5,1519145934,598,8541
85880,556,41566,3.5,1534320971,555,1894
91879,596,3623,2.5,1535708359,595,737
59326,387,778,4.5,1094875332,386,1159
278,3,2090,0.5,1306464261,2,128
226,1,3740,4.0,964982417,0,226
11965,73,99106,1.5,1464198772,72,3526
30942,217,357,3.0,955943627,216,313
68198,438,43928,0.5,1142284007,437,2304
41681,282,55765,4.0,1378498156,281,1274
47948,310,1247,4.5,1078647841,309,864
70328,448,122924,2.0,1498162906,447,1083
14483,91,2990,2.0,1112718050,90,1866
15766,103,4848,5.0,1440773368,102,1828
57269,380,3156,4.0,1494804502,379,1037
87779,566,552,4.0,849006845,565,30
45249,298,77561,3.5,1447516876,297,1312
94459,599,31921,2.5,1519185643,598,9126
58317,381,4226,4.5,1168800601,380,444
43607,292,2376,4.0,1332678611,291,1860
6411,43,596,5.0,848994332,42,35
7362,50,127146,3.0,1514240116,49,2843
6888,46,185,4.0,834787906,45,539
87667,564,119141,4.5,1481817709,563,2005
13924,89,117590,4.0,1520408746,88,2002
31221,217,1963,1.0,955943627,216,1536
21362,140,3107,3.0,949667371,139,2193
19289,125,4738,4.0,1474412893,124,4746
40534,274,74532,2.5,1293217932,273,4538
58617,382,1702,3.5,1515161690,381,1510
86561,560,122890,3.5,1469677869,559,4796
7067,48,1527,4.0,1127128838,47,1030
51997,338,183897,1.5,1530148463,337,5681
88146,567,162606,1.0,1525289360,566,1389
75343,475,122882,4.5,1498030594,474,257
43399,290,2772,3.0,975030896,289,4695
980,7,8665,3.5,1108602755,6,783
41523,282,1704,4.5,1378490576,281,233
578,6,26,4.0,845555362,5,496
94696,599,66171,2.5,1519535068,598,6050
100204,610,46970,4.0,1493847218,609,236
72512,469,733,3.0,965334034,468,40
37828,256,39183,2.0,1446580616,255,2052
48191,312,3863,3.0,1043176884,311,1018
20198,132,7034,3.0,1157993516,131,4239
76878,480,8861,2.0,1179166241,479,3351
64816,414,82202,3.0,1511537252,413,1934
40008,274,5804,2.5,1172026285,273,5494
31456,217,3363,3.0,955943760,216,2402
59280,387,356,4.0,1095040458,386,20
33621,227,81845,3.5,1447209888,226,934
33222,226,2011,4.0,1095713170,225,835
55629,368,1957,4.0,971273035,367,4899
90276,587,380,4.0,953138831,586,472
78459,488,7139,2.5,1112382712,487,3196
20351,135,231,2.0,1009691066,134,13
84098,535,2539,3.0,939029647,534,1626
83423,529,653,4.0,855583362,528,1158
8880,62,6058,3.5,1525555043,61,3068
69892,448,80590,2.0,1322329754,447,6552
1430,14,592,2.0,835440976,13,33
55530,368,1210,4.0,971273072,367,73
83698,534,3483,4.5,1459787996,533,1724
32485,221,4128,3.5,1111177894,220,3176
4831,29,56174,4.0,1309069586,28,1053
74203,474,4034,4.5,1081177376,473,439
69584,448,7319,3.0,1145127030,447,5748
3393,21,7569,4.5,1403460592,20,1883
6347,43,231,3.0,848993694,42,13
17911,112,25,2.5,1513989973,111,495
63329,414,3127,2.0,975941018,413,7079
53334,352,38038,3.0,1493674438,351,1247
80063,502,3147,5.0,1111757817,501,203
52126,339,4848,5.0,1460686055,338,1828
2797,19,2723,5.0,965706484,18,1116
6559,45,784,4.0,950724896,44,1025
55780,368,3272,3.0,975828314,367,2203
4103,27,1148,5.0,962686041,26,1099
99331,608,5452,1.0,1117519657,607,6216
19392,125,70286,4.0,1474481068,124,1060
27636,187,2700,4.5,1161863956,186,179
98277,606,8454,3.5,1171502042,605,9501
84911,551,112183,0.5,1506128951,550,1357
17382,111,3988,3.5,1516141094,110,1799
41823,285,474,3.5,1476723524,284,474
56055,370,4014,3.0,1159164363,369,433
63609,414,4103,5.0,991144129,413,3551
73428,474,1223,4.5,1053372016,473,1104
77083,481,1653,3.0,884773369,480,1031
97536,606,1093,4.0,1171230300,605,265
56860,379,349,4.0,847397292,378,19
30433,212,96079,4.0,1523216972,211,950
23644,160,4979,4.5,1058456459,159,1831
18829,121,597,3.0,847656027,120,480
39763,274,3285,2.0,1171786187,273,2510
67527,437,527,5.0,859721361,436,28
89072,577,494,3.0,945967440,576,652
64872,414,97304,4.0,1485656745,413,2829
98690,608,110,4.0,1117162428,607,7
87219,562,4135,5.0,1368896069,561,8802
75666,477,2450,0.5,1200944943,476,157
30528,213,1240,4.0,1316195644,212,81
91135,590,8807,2.5,1267236744,589,3350
37966,259,4886,4.0,1146845654,258,751
32770,222,59014,2.0,1391352001,221,5812
98186,606,6874,4.5,1171235842,605,234
21228,140,1252,3.5,1115312282,139,1106
97892,606,3426,4.0,1175637465,605,3037
45079,298,48780,2.0,1447518039,297,1051
92651,599,47,4.0,1498499364,598,3
46532,305,107314,2.5,1519506679,304,5673
4624,28,44204,3.0,1234571477,27,2307
16240,105,750,4.0,1447574331,104,722
47856,309,1263,3.0,1086563613,308,267
88016,567,104944,3.5,1525285966,566,8851
31372,217,2733,2.0,955942469,216,1646
36078,246,7361,5.0,1354125086,245,1129
47692,307,60487,4.0,1224508589,306,2981
4193,27,5060,2.0,962686409,26,231
36330,248,1291,4.0,1534591649,247,89
2436,19,842,2.0,965705347,18,703
51547,332,7090,4.5,1352672078,331,2250
22762,156,922,4.0,1106854096,155,830
21641,140,26865,1.0,1117729380,139,4987
45683,303,1080,1.0,1053302847,302,61
95433,600,2174,4.5,1237858294,599,141
78595,489,923,3.5,1335869037,488,45
86568,560,134853,3.5,1469647901,559,1085
46719,306,159858,4.0,1518327380,305,6585
466,4,3160,4.0,964539121,3,414
8558,58,292,4.0,847718544,57,587
43680,292,3682,4.5,1265679667,291,5614
14298,91,1220,5.0,1112713446,90,77
42389,288,1591,3.0,976139556,287,1496
12276,76,541,3.5,1439167669,75,1094
58076,380,171763,4.0,1508109046,379,3123
10850,68,3105,3.0,1158535471,67,2192
16803,105,107159,4.0,1446610642,104,4365
65246,418,4571,4.0,1461868100,417,1145
9600,64,1673,4.5,1161521563,63,2460
71336,457,2858,3.0,993610516,456,184
42109,287,8622,4.5,1110231540,286,2048
5533,39,2580,5.0,974789690,38,167
86171,560,1210,4.0,1469647971,559,73
2174,18,86190,3.5,1456924897,17,1323
21442,140,4047,4.0,1055092243,139,2209
37859,256,90405,3.5,1446581429,255,3629
15617,103,912,5.0,1431954433,102,335
47610,307,48394,3.0,1187191571,306,1132
22122,146,502,2.5,1312507926,145,654
3904,24,50,4.0,1458942023,23,4
93037,599,1220,3.5,1498501792,598,77
7335,50,103228,2.0,1514239192,49,1959
34104,232,4720,4.0,1101397685,231,1043
75573,477,1392,4.5,1201166879,476,5560
71323,457,2490,4.0,993610992,456,1114
20612,135,4881,3.0,1009692545,134,456
99309,608,5072,4.5,1117503329,607,4160
1570,16,50,4.0,1377476781,15,4
61976,410,3823,4.0,990728301,409,7416
66393,428,377,2.5,1111525992,427,621
26388,182,1769,3.5,1055153455,181,2672
24376,169,1022,4.0,1059427297,168,1773
76582,480,3355,4.0,1179165372,479,1704
10361,68,2,2.5,1158532776,67,481
47568,307,39234,2.5,1186257903,306,6671
82347,522,58295,4.5,1254573525,521,1279
9763,64,4011,4.5,1161520796,63,1021
46153,305,4016,3.5,1527234349,304,1802
31835,219,5064,3.5,1195349138,218,2123
21756,141,3489,4.0,1513132169,140,217
33806,230,2605,3.5,1196304139,229,1631
69587,448,7373,3.0,1359988244,447,1221
71953,462,102445,2.0,1435335723,461,1346
28921,199,53550,3.5,1261364752,198,2333
19448,125,95167,3.5,1474570008,124,946
19548,125,156371,4.0,1474469682,124,4821
68427,445,527,3.0,1454621684,444,28
48891,317,7438,3.0,1430361491,316,1047
53820,355,1198,5.0,974965256,354,70
24493,169,4886,5.0,1059427905,168,751
70890,453,608,4.0,972622467,452,36
73038,472,2431,4.0,1345842873,471,2681
97968,606,4226,4.0,1171231507,605,444
